electoral_district_name,candidate,party
AJAX--PICKERING,DICKSON,Liberal
AJAX--PICKERING,KING,NDP
AJAX--PICKERING,MCCARTHY,PC
AJAX--PICKERING,NARRAWAY,Green
AJAX--PICKERING,STEWART,Libertarian
ALGOMA--MANITOULIN,HADIDIAN,Libertarian
ALGOMA--MANITOULIN,HUGHSON,Liberal
ALGOMA--MANITOULIN,MANTHA,NDP
ALGOMA--MANITOULIN,TURNER,PC
ALGOMA--MANITOULIN,ZALUCKY,Green
ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE,DARTSCH,Green
ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE,JOHNSTONE,NDP
ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE,LANGTON,Libertarian
ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE,MCKEEKIN,Liberal
ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE,SKELLY,PC
ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE,SPRUCE,Freedom
BARRIE,BRADBURY,NDP
BARRIE,HOGGARTH,Liberal
BARRIE,JACKSON,PC
BARRIE,NORTH,Green
BARRIE,ROSKAM,Libertarian
BEACHES--EAST YORK,JOHNSON,PC
BEACHES--EAST YORK,LINDSAY,Libertarian
BEACHES--EAST YORK,POLEY-FISHER,Freedom
BEACHES--EAST YORK,POTTS,Liberal
BEACHES--EAST YORK,PRUE,NDP
BEACHES--EAST YORK,SCOTT,Green
BRAMALEA--GORE--MALTON,JASWAL,PC
BRAMALEA--GORE--MALTON,KULAR,Liberal
BRAMALEA--GORE--MALTON,SINGH,NDP
BRAMALEA--GORE--MALTON,THORNHAM,Green
BRAMPTON--SPRINGDALE,DHILLON,NDP
BRAMPTON--SPRINGDALE,HILL,Communist
BRAMPTON--SPRINGDALE,HUNDAL,PC
BRAMPTON--SPRINGDALE,MALHI,Liberal
BRAMPTON--SPRINGDALE,ZARRABI YAN,Green
BRAMPTON WEST,CHACIN,Libertarian
BRAMPTON WEST,DHILLON,Liberal
BRAMPTON WEST,EBRAHIM,Green
BRAMPTON WEST,HARLSON,Freedom
BRAMPTON WEST,PANAICH,NDP
BRAMPTON WEST,SANDHU,PC
BRAMPTON WEST,SULLIVAN,Family Coalition
BRANT,BURNS,
BRANT,FELSKY,
BRANT,FERGUSON,
BRANT,GILLIES,
BRANT,LEVAC,
BRANT,MITCHELL,
BRANT,TURMEL,
BRUCE--GREY--OWEN SOUND,ANDERSON,
BRUCE--GREY--OWEN SOUND,GVENTER,
BRUCE--GREY--OWEN SOUND,PARSONS,
BRUCE--GREY--OWEN SOUND,SPENCE,
BRUCE--GREY--OWEN SOUND,VOSKAMP,
BRUCE--GREY--OWEN SOUND,WALKER,
BURLINGTON,BRANNAN,
BURLINGTON,CROSS,
BURLINGTON,MCKENNA,
BURLINGTON,MCMAHON,
BURLINGTON,MOWBRAY,
BURLINGTON,ZACH,
CAMBRIDGE,BROWN,
CAMBRIDGE,DETTWEILER,
CAMBRIDGE,LEONE,
CAMBRIDGE,MCGARRY,
CAMBRIDGE,STEWART,
CARLETON--MISSISSIPPI MILLS,HANSEN,
CARLETON--MISSISSIPPI MILLS,MACLAREN,
CARLETON--MISSISSIPPI MILLS,STEVENS,
CARLETON--MISSISSIPPI MILLS,WEST,
CHATHAM--KENT--ESSEX,BELL,
CHATHAM--KENT--ESSEX,GELINAS,
CHATHAM--KENT--ESSEX,JOHNSON,
CHATHAM--KENT--ESSEX,MCLARTY,
CHATHAM--KENT--ESSEX,NICHOLLS,
DAVENPORT,AHMAD,
DAVENPORT,CAUCHI,
DAVENPORT,DANIEL,
DAVENPORT,MARTINS,
DAVENPORT,SCHEIN,
DAVENPORT,STEIN,
DAVENPORT,VENUTO,
DAVENPORT,YOUNG,
DON VALLEY EAST,COTEAU,
DON VALLEY EAST,KENNEDY,
DON VALLEY EAST,MCLEOD,
DON VALLEY EAST,SADIKALI,
DON VALLEY EAST,SIMMONS,
DON VALLEY WEST,AHMED,
DON VALLEY WEST,BOYD,
DON VALLEY WEST,BURROWS,
DON VALLEY WEST,CURLEY,
DON VALLEY WEST,FLISS,
DON VALLEY WEST,KABITSIS,
DON VALLEY WEST,PORTER,
DON VALLEY WEST,WAIGH,
DON VALLEY WEST,WYNNE,
DUFFERIN--CALEDON,DAID,
DUFFERIN--CALEDON,JONES,
DUFFERIN--CALEDON,KOWALEWSKI,
DUFFERIN--CALEDON,WALLACE,
DUFFERIN--CALEDON,YAZBEK,
DURHAM,ANDERSON,
DURHAM,PATRICK,
DURHAM,SPENCE,
DURHAM,TOYE,
DURHAM,ZALUCKY,
EGLINTON--LAWRENCE,BONE,
EGLINTON--LAWRENCE,COLLE,
EGLINTON--LAWRENCE,GALLEZOT,
EGLINTON--LAWRENCE,MARTIN,
EGLINTON--LAWRENCE,MCCANN,
EGLINTON--LAWRENCE,SNIEDZINS,
ELGIN--MIDDLESEX--LONDON,CORNISH,
ELGIN--MIDDLESEX--LONDON,FISHER,
ELGIN--MIDDLESEX--LONDON,LAVOIE,
ELGIN--MIDDLESEX--LONDON,MALONEY,
ELGIN--MIDDLESEX--LONDON,YUREK,
ESSEX,CECILE,
ESSEX,MELOCHE,
ESSEX,NATYSHAK,
ESSEX,VERCOUTEREN,
ETOBICOKE--LAKESHORE,CHOO,
ETOBICOKE--LAKESHORE,HOLYDAY,
ETOBICOKE--LAKESHORE,LOCHWIN,
ETOBICOKE--LAKESHORE,LYTVYN,
ETOBICOKE--LAKESHORE,MERKLINGER,
ETOBICOKE--LAKESHORE,MILCZYN,
ETOBICOKE--LAKESHORE,SALEWSKY,
ETOBICOKE--LAKESHORE,WRZESNIEWSKI,
ETOBICOKE CENTRE,BAKER,
